MinName	Cy-A	Cy-B	Cy-C	Eu-A	Eu-B	Eu-C
Firmicutes; Clostridia	0.029502662	0.034976272	0.037901432	0.019581233	0.013729006	0.012554762
Bacteroidetes; Bacteroidia	0.058615764	0.057001146	0.053301131	0.065245921	0.061973352	0.061803534
Proteobacteria; Gammaproteobacteria	0.128892352	0.132866983	0.129414859	0.122721985	0.100711517	0.102246332
Proteobacteria; Deltaproteobacteria	0.1904428	0.180580403	0.164159832	0.205177916	0.222961378	0.207418188
Firmicutes; Bacilli	0.009453318	0.013369184	0.015399699	0.009112059	0.010682401	0.007938608
Unclassified Bacteria	0.049733801	0.055822773	0.050096846	0.058684046	0.060720002	0.066743113
Synergistetes; Synergistia	0.000129853	8.56999E-05	0.000143475	0	0	0
Spirochaetes; Spirochaetes	0.022568498	0.023953122	0.026853822	0.025352701	0.023273751	0.030431331
Parvarchaeota; Parvarchaea	0.060018179	0.063760726	0.060092303	0.042040743	0.048668556	0.0483079
Thermotogae; Thermotogae	0.000181795	0.000235675	0.000382601	0.00013422	0.000636316	0.000117609
Proteobacteria; Alphaproteobacteria	0.032489287	0.028848729	0.029508118	0.032078623	0.026166098	0.023830525
WWE1; Cloacamonae	0.029476691	0.027713205	0.028790741	0.027291437	0.034958832	0.035400312
Bacteroidetes; Flavobacteriia	0.021166082	0.023631748	0.028025539	0.028931906	0.022232506	0.025550557
Fusobacteria; Fusobacteriia	0.020984288	0.019046803	0.020493077	0.003564291	0.005572588	0.004542648
Chloroflexi; Dehalococcoidetes	0.021503701	0.020921488	0.019464837	0.024353506	0.022039683	0.026462027
Planctomycetes; Planctomycetia	0.023009999	0.020268026	0.024008226	0.01761267	0.023138775	0.017009203
Chloroflexi; Anaerolineae	0.01630957	0.015961606	0.017599656	0.018074984	0.015502979	0.016127135
OP3; BD4-9	0.015452539	0.017107843	0.01355843	0.015673934	0.020497098	0.020037635
Euryarchaeota; Thermoplasmata	0.015556421	0.013112085	0.012601927	0.015614281	0.019455853	0.016332951
OP3; koll11	0.014543566	0.013272772	0.014897535	0.014644913	0.016332119	0.017112111
WS3; PRR-12	0.017789897	0.015533107	0.019799613	0.017866197	0.017334799	0.020155244
Planctomycetes; Phycisphaerae	0.014335801	0.01317636	0.01253019	0.013302711	0.013748289	0.013627944
Tenericutes; Mollicutes	0.004908453	0.004295708	0.004543389	0.007367197	0.006768092	0.00887948
SAR406; AB16	0.006830282	0.008859227	0.006862909	0.012527217	0.010778813	0.013157508
Verrucomicrobia; Verruco-5	0.013011297	0.013240635	0.013199742	0.008619918	0.009448333	0.010408397
Planctomycetes; 	0.009479288	0.006781005	0.009780243	0.010200734	0.012398527	0.01161389
Crenarchaeota; MCG	0.007687313	0.007498741	0.008919391	0.008619918	0.009564027	0.009717444
Parvarchaeota; Micrarchaea	0.006388781	0.006266805	0.008130276	0.007352283	0.007770772	0.008952986
Actinobacteria; Acidimicrobiia	0.006986106	0.008291465	0.006575958	0.007754944	0.005938952	0.00665961
Bacteroidetes; Saprospirae	0.00594728	0.007252354	0.007508549	0.008097951	0.007597231	0.007012437
Other	0.146604337	0.146268305	0.155455654	0.152399559	0.149399356	0.149848578
