MinName	Cy- A	Cy- B	Cy- C	Eu- A	Eu- B	Eu- C
Firmicutes; Clostridia	0.027610668	0.017598739	0.021457605	0.011003827	0.014922061	0.013941321
Bacteroidetes; Bacteroidia	0.05379255	0.042361144	0.053029587	0.066892832	0.062924132	0.063845288
Proteobacteria; Gammaproteobacteria	0.134368577	0.136229046	0.145004254	0.145282417	0.149904772	0.138386648
Proteobacteria; Deltaproteobacteria	0.171930616	0.153875543	0.165563853	0.205767223	0.200957823	0.206023578
Firmicutes; Bacilli	0.013899333	0.012846841	0.012666604	0.010583391	0.007673675	0.014090337
Unclassified Bacteria	0.051799769	0.048354745	0.055487286	0.052482023	0.047391875	0.057917743
Synergistetes; Synergistia	0.000714393	0	7.08952E-05	0	7.39631E-05	0
Spirochaetes; Spirochaetes	0.02847546	0.027078657	0.022379242	0.023036998	0.019655702	0.02326313
Parvarchaeota; Parvarchaea	0.065874568	0.063613353	0.05787409	0.038303178	0.037388362	0.043297569
Thermotogae; Thermotogae	0.000413596	0.000501457	0	0	0.000295853	0.000132459
Proteobacteria; Alphaproteobacteria	0.033325813	0.095658818	0.045467435	0.030401879	0.034910597	0.028528379
WWE1; Cloacamonae	0.027197072	0.024738526	0.025380471	0.032054628	0.031859618	0.029952315
Bacteroidetes; Flavobacteriia	0.025053893	0.022064091	0.02289914	0.030561355	0.034115493	0.026789854
Fusobacteria; Fusobacteriia	0.009149246	0.006805483	0.005340769	0.004233357	0.005214401	0.00399033
Chloroflexi; Dehalococcoidetes	0.024239234	0.021825302	0.019992438	0.021500232	0.020450805	0.02066362
Planctomycetes; Planctomycetia	0.022910713	0.022541669	0.024364307	0.021616214	0.024851611	0.022898867
Chloroflexi; Anaerolineae	0.018975285	0.017909165	0.017156631	0.024515774	0.02551728	0.017600503
OP3; BD4-9	0.017596631	0.016404795	0.017936478	0.015411158	0.013405817	0.017170011
Euryarchaeota; Thermoplasmata	0.014638793	0.01308563	0.015785991	0.015512642	0.014829607	0.018461488
OP3; koll11	0.012783877	0.013419934	0.011626808	0.012178149	0.013220909	0.013792304
WS3; PRR-12	0.016982504	0.011700654	0.015762359	0.017150893	0.015347349	0.017766077
Planctomycetes; Phycisphaerae	0.013961999	0.0102918	0.013588241	0.011105312	0.013516762	0.012682959
Tenericutes; Mollicutes	0.005376748	0.004847414	0.005388033	0.00572663	0.005214401	0.007599841
SAR406; AB16	0.009274578	0.010649983	0.007514888	0.009815008	0.010891071	0.010911319
Verrucomicrobia; Verruco-5	0.012044418	0.012990114	0.015833255	0.00953955	0.010077476	0.011176237
Planctomycetes; 	0.010502833	0.010220163	0.013470082	0.011670726	0.008672177	0.013709517
Crenarchaeota; MCG	0.008710583	0.00771288	0.009665375	0.008031779	0.010539746	0.0096364
Parvarchaeota; Micrarchaea	0.007670326	0.006065237	0.008129313	0.007132916	0.006249884	0.005761971
Actinobacteria; Acidimicrobiia	0.006141274	0.008906825	0.00850742	0.009090118	0.010280875	0.006523611
Bacteroidetes; Saprospirae	0.006091142	0.009694828	0.006829568	0.007451867	0.008616705	0.007649513
Other	0.148493508	0.150007164	0.155827583	0.141947924	0.141029197	0.13583681
