sample-id	sample-id-old	Step1Conc	WellNo	i7Primer	i5Primer	OriginalName	TechRepNo	FirstNo	Experiment	Project	SampleType	ControlType	Inhibitor	Substrate	SedimentLocation	Condition	Timepoint	Date	SourceType	Split	TubeNo	SeqId	f_SO4	AnalysisGroup1	AnalysisGroup2	AnalysisGroup3
K0823	B14	0.566	B3	H701	H506	K0823	1	3	8/3/23	biomass inhibition	experiment	NA	no	NA	NA	K0823 inoc slurry	NA	NA	NA	No	NA	BoxB	NA	no_NA_NA	T0_start	Start
K2AT7CY	B70	23.1	F9	H723	H513	K2AT7CY	2	45	K0722	biomass	experiment	NA	no	Cy	NA	Tr1-A	7	8/19/22	NA	No	NA	BoxB	0.661768624	no_Cy_7	T_Final	no_Cy_Final
K2AT7EU	B26	45	C3	H702	H505	K2AT7EU	3	41	K0722	biomass	experiment	NA	no	Eu	NA	Tr1-A	7	8/19/22	NA	No	NA	BoxB	0.528488622	no_Eu_7	T_Final	no_Eu_Final
K2BT7CY	B48	47.6	E1	H706	H516	K2BT7CY	4	46	K0722	biomass	experiment	NA	no	Cy	NA	Tr1-B	7	8/19/22	NA	No	NA	BoxB	0.569269089	no_Cy_7	T_Final	no_Cy_Final
K2BT7EU	B54	56	E7	H701	H516	K2BT7EU	5	39	K0722	biomass	experiment	NA	no	Eu	NA	Tr1-B	7	8/19/22	NA	No	NA	BoxB	0.540306019	no_Eu_7	T_Final	no_Eu_Final
K2CT7CY	B82	45.8	G9	H705	H510	K2CT7CY	6	43	K0722	biomass	experiment	NA	no	Cy	NA	Tr1-C	7	8/19/22	NA	No	NA	BoxB	0.569640626	no_Cy_7	T_Final	no_Cy_Final
K2CT7EU	B13	51	B2	H703	H505	K2CT7EU	7	44	K0722	biomass	experiment	NA	no	Eu	NA	Tr1-C	7	8/19/22	NA	No	NA	BoxB	0.556373624	no_Eu_7	T_Final	no_Eu_Final
K4MNAT5CY	B22	51	B11	H714	H505	K4MNAT5CY	10	32	K0824	biomass inhibition	experiment	NA	yes	Cy	NA	M(+) iA-1	5	NA	NA	Yes	NA	BoxB	1.05423766	yes_Cy_5	T_Final	yes_Cy_Final
K4MNBT5CY	B34	39.9	C11	H710	H517	K4MNBT5CY	11	30	K0824	biomass inhibition	experiment	NA	yes	Cy	NA	M(+) iB-1	5	NA	NA	Yes	NA	BoxB	1.115592094	yes_Cy_5	T_Final	yes_Cy_Final
K4MNCT5CY	B5	53	A6	H723	H517	K4MNCT5CY	12	28	K0824	biomass inhibition	experiment	NA	yes	Cy	NA	M(+) iC-1	5	NA	NA	Yes	NA	BoxB	1.031470341	yes_Cy_5	T_Final	yes_Cy_Final
K4MOAT0CY	B45	1.28	D10	H701	H503	K4MOAT0CY	13	1	K0824	biomass inhibition	experiment	NA	yes	Cy	NA	M(+) iA	0	NA	NA	No	NA	BoxB	0.982950986	yes_Cy_0	T0_start	Start
K4MOAT0EU	B46	4.23	D11	H702	H503	K4MOAT0EU	14	9	K0824	biomass inhibition	experiment	NA	yes	Eu	NA	M(+) iA	0	NA	NA	No	NA	BoxB	0.997487376	yes_Eu_0	T0_start	Start
K4MOAT10CY	B80	38	G7	H707	H513	K4MOAT10CY	15	56	K0824	biomass inhibition	experiment	NA	yes	Cy	NA	M(+) iA-1	10	NA	NA	Yes	NA	BoxB	0.97196322	yes_Cy_10	T_Final	yes_Cy_Final
K4MOAT10EU	B79	too high	G6	H701	H510	K4MOAT10EU	16	46	K0824	biomass inhibition	experiment	NA	yes	Eu	NA	M(+) iA	10	NA	NA	No	46	BoxB	1.004675407	yes_Eu_10	T_Final	yes_Eu_Final
K4MOAT5EU	B17	48.9	B6	H705	H506	K4MOAT5EU	17	22	K0824	biomass inhibition	experiment	NA	yes	Eu	NA	M(+) iA	5	NA	NA	No	NA	BoxB	1.037699676	yes_Eu_5	T_Final	yes_Eu_Final
K4MOBT0CY	B31	0.87	C8	H706	H517	K4MOBT0CY	18	11	K0824	biomass inhibition	experiment	NA	yes	Cy	NA	M(+) iB	0	NA	NA	No	NA	BoxB	1.038030868	yes_Cy_0	T0_start	Start
K4MOBT0EU	B42	4.42	D7	H710	H503	K4MOBT0EU	19	8	K0824	biomass inhibition	experiment	NA	yes	Eu	NA	M(+) iB	0	NA	NA	No	NA	BoxB	1.006846517	yes_Eu_0	T0_start	Start
K4MOBT10CY	B67	19.4	F6	H703	H513	K4MOBT10CY	20	54	K0824	biomass inhibition	experiment	NA	yes	Cy	NA	M(+) iB-1	10	NA	NA	Yes	NA	BoxB	0.970610533	yes_Cy_10	T_Final	yes_Cy_Final
K4MOBT10EU	B89	53	H4	H703	H510	K4MOBT10EU	21	45	K0824	biomass inhibition	experiment	NA	yes	Eu	NA	M(+) iB	10	NA	NA	No	45	BoxB	0.988242811	yes_Eu_10	T_Final	yes_Eu_Final
K4MOBT5EU	B16	54	B5	H723	H505	K4MOBT5EU	22	21	K0824	biomass inhibition	experiment	NA	yes	Eu	NA	M(+) iB	5	NA	NA	No	NA	BoxB	1.019645245	yes_Eu_5	T_Final	yes_Eu_Final
K4MOCT0CY	B71	0.798	F10	H706	H522	K4MOCT0CY	23	12	K0824	biomass inhibition	experiment	NA	yes	Cy	NA	M(+) iC	0	NA	NA	No	NA	BoxB	0.976786032	yes_Cy_0	T0_start	Start
